Mod:Item:MetaData, Localized Name
quark:world_stone_bricks:4, Marble Bricks
quark:world_stone_bricks:5, Limestone Bricks
quark:stone_granite_bricks_stairs, tile.stone_granite_bricks_stairs.name
quark:stone_diorite_bricks_stairs, tile.stone_diorite_bricks_stairs.name
quark:stone_andesite_bricks_stairs, tile.stone_andesite_bricks_stairs.name
quark:stone_basalt_bricks_stairs, tile.stone_basalt_bricks_stairs.name
quark:stone_marble_bricks_stairs, tile.stone_marble_bricks_stairs.name
quark:stone_limestone_bricks_stairs, tile.stone_limestone_bricks_stairs.name
quark:stone_granite_bricks_slab:0, Granite Brick Slab
quark:stone_diorite_bricks_slab:0, Diorite Brick Slab
quark:stone_andesite_bricks_slab:0, Andesite Brick Slab
quark:stone_basalt_bricks_slab:0, Basalt Brick Slab
quark:stone_marble_bricks_slab:0, Marble Brick Slab
quark:stone_limestone_bricks_slab:0, Limestone Brick Slab
quark:stone_granite_bricks_wall, tile.stone_granite_bricks_wall.name
quark:stone_diorite_bricks_wall, tile.stone_diorite_bricks_wall.name
quark:stone_andesite_bricks_wall, tile.stone_andesite_bricks_wall.name
quark:stone_basalt_bricks_wall, tile.stone_basalt_bricks_wall.name
quark:stone_marble_bricks_wall, tile.stone_marble_bricks_wall.name
quark:stone_limestone_bricks_wall, tile.stone_limestone_bricks_wall.name
quark:midori_block, tile.midori_block.name
quark:midori_pillar, tile.midori_pillar.name
quark:midori_block_stairs, tile.midori_block_stairs.name
quark:midori_block_slab:0, Midori Slab
quark:midori_block_wall, tile.midori_block_wall.name
quark:vertical_planks:0, Vertical Oak Wood Planks
quark:vertical_planks:1, Vertical Spruce Wood Planks
quark:vertical_planks:2, Vertical Birch Wood Planks
quark:vertical_planks:3, Vertical Jungle Wood Planks
quark:vertical_planks:4, Vertical Acacia Wood Planks
quark:vertical_planks:5, Vertical Dark Oak Wood Planks
quark:glass_shards:0, Glass Shard
quark:glass_shards:1, White Glass Shard
quark:glass_shards:2, Orange Glass Shard
quark:glass_shards:3, Magenta Glass Shard
quark:glass_shards:4, Light Blue Glass Shard
quark:glass_shards:5, Yellow Glass Shard
quark:glass_shards:6, Lime Glass Shard
quark:glass_shards:7, Pink Glass Shard
quark:glass_shards:8, Gray Glass Shard
quark:glass_shards:9, Light Gray Glass Shard
quark:glass_shards:10, Cyan Glass Shard
quark:glass_shards:11, Purple Glass Shard
quark:glass_shards:12, Blue Glass Shard
quark:glass_shards:13, Brown Glass Shard
quark:glass_shards:14, Green Glass Shard
quark:glass_shards:15, Red Glass Shard
quark:glass_shards:16, Black Glass Shard
baubles:Ring:0, item.Ring.0.name
bibliocraft:Bookcase:0, Oak Bookcase
bibliocraft:Bookcase:1, Spruce Bookcase
bibliocraft:Bookcase:2, Birch Bookcase
bibliocraft:Bookcase:3, Jungle Bookcase
bibliocraft:Bookcase:4, Acacia Bookcase
bibliocraft:Bookcase:5, Dark Oak Bookcase
bibliocraft:Bookcase:6, Framed Bookcase
bibliocraft:BookcaseCreative:0, Oak Creative Bookcase
bibliocraft:BookcaseCreative:1, Spruce Creative Bookcase
bibliocraft:BookcaseCreative:2, Birch Creative Bookcase
bibliocraft:BookcaseCreative:3, Jungle Creative Bookcase
bibliocraft:BookcaseCreative:4, Acacia Creative Bookcase
bibliocraft:BookcaseCreative:5, Dark Oak Creative Bookcase
bibliocraft:BookcaseCreative:6, Framed Creative Bookcase
bibliocraft:Shelf:0, Oak Shelf
bibliocraft:Shelf:1, Spruce Shelf
bibliocraft:Shelf:2, Birch Shelf
bibliocraft:Shelf:3, Jungle Shelf
bibliocraft:Shelf:4, Acacia Shelf
bibliocraft:Shelf:5, Dark Oak
bibliocraft:Shelf:6, Framed Shelf
bibliocraft:MarkerPole, tile.BiblioCraft:MarkerPole.name
bibliocraft:Clipboard, tile.BiblioCraft:Clipboard.name
bibliocraft:LanternGold:0, Fancy Lantern
bibliocraft:LanternGold:1, Fancy Lantern
bibliocraft:LanternGold:2, Fancy Lantern
bibliocraft:LanternGold:3, Fancy Lantern
bibliocraft:LanternGold:4, Fancy Lantern
bibliocraft:LanternGold:5, Fancy Lantern
bibliocraft:LanternGold:6, Fancy Lantern
bibliocraft:LanternGold:7, Fancy Lantern
bibliocraft:LanternGold:8, Fancy Lantern
bibliocraft:LanternGold:9, Fancy Lantern
bibliocraft:LanternGold:10, Fancy Lantern
bibliocraft:LanternGold:11, Fancy Lantern
bibliocraft:LanternGold:12, Fancy Lantern
bibliocraft:LanternGold:13, Fancy Lantern
bibliocraft:LanternGold:14, Fancy Lantern
bibliocraft:LanternGold:15, Fancy Lantern
bibliocraft:LanternIron:0, Fancy Lantern
bibliocraft:LanternIron:1, Fancy Lantern
bibliocraft:LanternIron:2, Fancy Lantern
bibliocraft:LanternIron:3, Fancy Lantern
bibliocraft:LanternIron:4, Fancy Lantern
bibliocraft:LanternIron:5, Fancy Lantern
bibliocraft:LanternIron:6, Fancy Lantern
bibliocraft:LanternIron:7, Fancy Lantern
bibliocraft:LanternIron:8, Fancy Lantern
bibliocraft:LanternIron:9, Fancy Lantern
bibliocraft:LanternIron:10, Fancy Lantern
bibliocraft:LanternIron:11, Fancy Lantern
bibliocraft:LanternIron:12, Fancy Lantern
bibliocraft:LanternIron:13, Fancy Lantern
bibliocraft:LanternIron:14, Fancy Lantern
bibliocraft:LanternIron:15, Fancy Lantern
bibliocraft:LampGold:0, Fancy Lamp
bibliocraft:LampGold:1, Fancy Lamp
bibliocraft:LampGold:2, Fancy Lamp
bibliocraft:LampGold:3, Fancy Lamp
bibliocraft:LampGold:4, Fancy Lamp
bibliocraft:LampGold:5, Fancy Lamp
bibliocraft:LampGold:6, Fancy Lamp
bibliocraft:LampGold:7, Fancy Lamp
bibliocraft:LampGold:8, Fancy Lamp
bibliocraft:LampGold:9, Fancy Lamp
bibliocraft:LampGold:10, Fancy Lamp
bibliocraft:LampGold:11, Fancy Lamp
bibliocraft:LampGold:12, Fancy Lamp
bibliocraft:LampGold:13, Fancy Lamp
bibliocraft:LampGold:14, Fancy Lamp
bibliocraft:LampGold:15, Fancy Lamp
bibliocraft:LampIron:0, Fancy Lamp
bibliocraft:LampIron:1, Fancy Lamp
bibliocraft:LampIron:2, Fancy Lamp
bibliocraft:LampIron:3, Fancy Lamp
bibliocraft:LampIron:4, Fancy Lamp
bibliocraft:LampIron:5, Fancy Lamp
bibliocraft:LampIron:6, Fancy Lamp
bibliocraft:LampIron:7, Fancy Lamp
bibliocraft:LampIron:8, Fancy Lamp
bibliocraft:LampIron:9, Fancy Lamp
bibliocraft:LampIron:10, Fancy Lamp
bibliocraft:LampIron:11, Fancy Lamp
bibliocraft:LampIron:12, Fancy Lamp
bibliocraft:LampIron:13, Fancy Lamp
bibliocraft:LampIron:14, Fancy Lamp
bibliocraft:LampIron:15, Fancy Lamp
bibliocraft:FurniturePaneler:0, Oak Furniture Paneler
bibliocraft:FurniturePaneler:1, Spruce Furniture Paneler
bibliocraft:FurniturePaneler:2, Birch Furniture Paneler
bibliocraft:FurniturePaneler:3, Jungle Furniture Paneler
bibliocraft:FurniturePaneler:4, Acacia Furniture Paneler
bibliocraft:FurniturePaneler:5, Dark Oak Furniture Paneler
bibliocraft:FurniturePaneler:6, Framed Furniture Paneler
bibliocraft:FramedChest:0, Oak Framed Chest
bibliocraft:FramedChest:1, Spruce Framed Chest
bibliocraft:FramedChest:2, Birch Framed Chest
bibliocraft:FramedChest:3, Jungle Framed Chest
bibliocraft:FramedChest:4, Acacia Framed Chest
bibliocraft:FramedChest:5, Dark Oak Framed Chest
bibliocraft:FramedChest:6, Framed Framed Chest
bibliocraft:FancySign:0, Oak Fancy Sign
bibliocraft:FancySign:1, Spruce Fancy Sign
bibliocraft:FancySign:2, Birch Fancy Sign
bibliocraft:FancySign:3, Jungle Fancy Sign
bibliocraft:FancySign:4, Acacia Fancy Sign
bibliocraft:FancySign:5, Dark Oak Fancy Sign
bibliocraft:FancySign:6, Framed Fancy Sign
bibliocraft:FancyWorkbench:0, Oak Fancy Workbench
bibliocraft:FancyWorkbench:1, Spruce Fancy Workbench
bibliocraft:FancyWorkbench:2, Birch Fancy Workbench
bibliocraft:FancyWorkbench:3, Jungle Fancy Workbench
bibliocraft:FancyWorkbench:4, Acacia Fancy Workbench
bibliocraft:FancyWorkbench:5, Dark Oak Workbench
bibliocraft:FancyWorkbench:6, Framed Fancy Workbench
bibliocraft:PotionShelf:0, Oak Potion Shelf
bibliocraft:PotionShelf:1, Spruce Potion Shelf
bibliocraft:PotionShelf:2, Birch Potion Shelf
bibliocraft:PotionShelf:3, Jungle Potion Shelf
bibliocraft:PotionShelf:4, Acacia Potion Shelf
bibliocraft:PotionShelf:5, Dark Oak Potion Shelf
bibliocraft:PotionShelf:6, Framed Potion Shelf
bibliocraft:ToolRack:0, Oak Tool Rack
bibliocraft:ToolRack:1, Spruce Tool Rack
bibliocraft:ToolRack:2, Birch Tool Rack
bibliocraft:ToolRack:3, Jungle Tool Rack
bibliocraft:ToolRack:4, Acacia Tool Rack
bibliocraft:ToolRack:5, Dark Oak Tool Rack
bibliocraft:ToolRack:6, Framed Tool Rack
bibliocraft:Label:0, Oak Wood Label
bibliocraft:Label:1, Spruce Wood Label
bibliocraft:Label:2, Birch Wood Label
bibliocraft:Label:3, Jungle Wood Label
bibliocraft:Label:4, Acacia Label
bibliocraft:Label:5, Dark Oak Label
bibliocraft:Label:6, Framed Label
bibliocraft:Desk:0, Oak Desk
bibliocraft:Desk:1, Spruce Desk
bibliocraft:Desk:2, Birch Desk
bibliocraft:Desk:3, Jungle Desk
bibliocraft:Desk:4, Acacia Desk
bibliocraft:Desk:5, Dark Oak Desk
bibliocraft:Desk:6, Framed Desk
bibliocraft:Table:0, Oak Table
bibliocraft:Table:1, Spruce Table
bibliocraft:Table:2, Birch Table
bibliocraft:Table:3, Jungle Table
bibliocraft:Table:4, Acacia Table
bibliocraft:Table:5, Dark Oak Table
bibliocraft:Table:6, Framed Table
bibliocraft:Seat:0, Oak Seat
bibliocraft:Seat:1, Spruce Seat
bibliocraft:Seat:2, Birch Seat
bibliocraft:Seat:3, Jungle Seat
bibliocraft:Seat:4, Acacia Seat
bibliocraft:Seat:5, Dark Oak Seat
bibliocraft:Seat:6, Framed Seat
bibliocraft:Clock:0, Oak Clock
bibliocraft:Clock:1, Spruce Clock
bibliocraft:Clock:2, Birch Clock
bibliocraft:Clock:3, Jungle Clock
bibliocraft:Clock:4, Acacia Clock
bibliocraft:Clock:5, Dark Oak Clock
bibliocraft:Clock:6, Framed Clock
bibliocraft:Case:0, Oak Case
bibliocraft:Case:1, Spruce Case
bibliocraft:Case:2, Birch Case
bibliocraft:Case:3, Jungle Case
bibliocraft:Case:4, Acacia Case
bibliocraft:Case:5, Dark Oak Case
bibliocraft:Case:6, Framed Case
bibliocraft:MapFrame:0, Oak Map Frame
bibliocraft:MapFrame:1, Spruce Map Frame
bibliocraft:MapFrame:2, Birch Map Frame
bibliocraft:MapFrame:3, Jungle Map Frame
bibliocraft:MapFrame:4, Acacia Map Frame
bibliocraft:MapFrame:5, Dark Oak Map Frame
bibliocraft:MapFrame:6, Framed Map Frame
bibliocraft:PaintingFrameFlat:0, Oak Painting Frame
bibliocraft:PaintingFrameFlat:1, Spruce Painting Frame
bibliocraft:PaintingFrameFlat:2, Birch Painting Frame
bibliocraft:PaintingFrameFlat:3, Jungle Painting Frame
bibliocraft:PaintingFrameFlat:4, Acacia Painting Frame
bibliocraft:PaintingFrameFlat:5, Dark Oak Painting Frame
bibliocraft:PaintingFrameFlat:6, Framed Painting Frame
bibliocraft:PaintingFrameSimple:0, Oak Painting Frame
bibliocraft:PaintingFrameSimple:1, Spruce Painting Frame
bibliocraft:PaintingFrameSimple:2, Birch Painting Frame
bibliocraft:PaintingFrameSimple:3, Jungle Painting Frame
bibliocraft:PaintingFrameSimple:4, Acacia Painting Frame
bibliocraft:PaintingFrameSimple:5, Dark Oak Painting Frame
bibliocraft:PaintingFrameSimple:6, Framed Painting Frame
bibliocraft:PaintingFrameMiddle:0, Oak Painting Frame
bibliocraft:PaintingFrameMiddle:1, Spruce Painting Frame
bibliocraft:PaintingFrameMiddle:2, Birch Painting Frame
bibliocraft:PaintingFrameMiddle:3, Jungle Painting Frame
bibliocraft:PaintingFrameMiddle:4, Acacia Painting Frame
bibliocraft:PaintingFrameMiddle:5, Dark Oak Painting Frame
bibliocraft:PaintingFrameMiddle:6, Framed Painting Frame
bibliocraft:PaintingFrameFancy:0, Oak Painting Frame
bibliocraft:PaintingFrameFancy:1, Spruce Painting Frame
bibliocraft:PaintingFrameFancy:2, Birch Painting Frame
bibliocraft:PaintingFrameFancy:3, Jungle Painting Frame
bibliocraft:PaintingFrameFancy:4, Acacia Painting Frame
bibliocraft:PaintingFrameFancy:5, Dark Oak Painting Frame
bibliocraft:PaintingFrameFancy:6, Framed Painting Frame
bibliocraft:PaintingFrameBorderless:0, Oak Painting Frame
bibliocraft:PaintingFrameBorderless:1, Spruce Painting Frame
bibliocraft:PaintingFrameBorderless:2, Birch Painting Frame
bibliocraft:PaintingFrameBorderless:3, Jungle Painting Frame
bibliocraft:PaintingFrameBorderless:4, Acacia Painting Frame
bibliocraft:PaintingFrameBorderless:5, Dark Oak Painting Frame
bibliocraft:PaintingFrameBorderless:6, Framed Painting Frame
bibliocraft:PaintingPress, Painting Press
bibliocraft:Typewriter:0, White Typewriter
bibliocraft:Typewriter:1, Light Gray Typewriter
bibliocraft:Typewriter:2, Gray Typewriter
bibliocraft:Typewriter:3, Black Typewriter
bibliocraft:Typewriter:4, Red Typewriter
bibliocraft:Typewriter:5, Orange Typewriter
bibliocraft:Typewriter:6, Yellow Typewriter
bibliocraft:Typewriter:7, Lime Typewriter
bibliocraft:Typewriter:8, Green Typewriter
bibliocraft:Typewriter:9, Cyan Typewriter
bibliocraft:Typewriter:10, Light Blue Typewriter
bibliocraft:Typewriter:11, Blue Typewriter
bibliocraft:Typewriter:12, Purple Typewriter
bibliocraft:Typewriter:13, Magenta Typewriter
bibliocraft:Typewriter:14, Pink Typewriter
bibliocraft:Typewriter:15, Brown Typewriter
bibliocraft:SwordPedestal:0, Sword Pedestal
bibliocraft:SwordPedestal:1, Sword Pedestal
bibliocraft:SwordPedestal:2, Sword Pedestal
bibliocraft:SwordPedestal:3, Sword Pedestal
bibliocraft:SwordPedestal:4, Sword Pedestal
bibliocraft:SwordPedestal:5, Sword Pedestal
bibliocraft:SwordPedestal:6, Sword Pedestal
bibliocraft:SwordPedestal:7, Sword Pedestal
bibliocraft:SwordPedestal:8, Sword Pedestal
bibliocraft:SwordPedestal:9, Sword Pedestal
bibliocraft:SwordPedestal:10, Sword Pedestal
bibliocraft:SwordPedestal:11, Sword Pedestal
bibliocraft:SwordPedestal:12, Sword Pedestal
bibliocraft:SwordPedestal:13, Sword Pedestal
bibliocraft:SwordPedestal:14, Sword Pedestal
bibliocraft:SwordPedestal:15, Sword Pedestal
bibliocraft:ArmorStand:0, Oak Armor Stand
bibliocraft:ArmorStand:1, Spruce Armor Stand
bibliocraft:ArmorStand:2, Birch Armor Stand
bibliocraft:ArmorStand:3, Jungle Armor Stand
bibliocraft:ArmorStand:4, Acacia Armor Stand
bibliocraft:ArmorStand:5, Dark Oak Armor Stand
bibliocraft:ArmorStand:6, Framed Armor Stand
bibliocraft:Bell, Desk Bell
bibliocraft:TypesettingTable, Typesetting Table
bibliocraft:PrintingPress, Printing Press
bibliocraft:CookieJar, Cookie Jar
bibliocraft:DinnerPlate, Dinner Plate
bibliocraft:DiscRack, Disc Rack
bibliocraft:compass, Compass
bibliocraft:maptool, Drafting Compass
bibliocraft:seatback1:0, Oak Seat Back
bibliocraft:seatback1:1, Spruce Seat Back
bibliocraft:seatback1:2, Birch Seat Back
bibliocraft:seatback1:3, Jungle Seat Back
bibliocraft:seatback1:4, Acacia Seat Back
bibliocraft:seatback1:5, Dark Oak Seat Back
bibliocraft:seatback1:6, Framed Seat Back
bibliocraft:seatback2:0, Oak Seat Back
bibliocraft:seatback2:1, Spruce Seat Back
bibliocraft:seatback2:2, Birch Seat Back
bibliocraft:seatback2:3, Jungle Seat Back
bibliocraft:seatback2:4, Acacia Seat Back
bibliocraft:seatback2:5, Dark Oak Seat Back
bibliocraft:seatback2:6, Framed Seat Back
bibliocraft:seatback3:0, Oak Seat Back
bibliocraft:seatback3:1, Spruce Seat Back
bibliocraft:seatback3:2, Birch Seat Back
bibliocraft:seatback3:3, Jungle Seat Back
bibliocraft:seatback3:4, Acacia Seat Back
bibliocraft:seatback3:5, Dark Oak Seat Back
bibliocraft:seatback3:6, Framed Seat Back
bibliocraft:seatback4:0, Oak Seat Back
bibliocraft:seatback4:1, Spruce Seat Back
bibliocraft:seatback4:2, Birch Seat Back
bibliocraft:seatback4:3, Jungle Seat Back
bibliocraft:seatback4:4, Acacia Seat Back
bibliocraft:seatback4:5, Dark Oak Seat Back
bibliocraft:seatback4:6, Framed Seat Back
bibliocraft:seatback5:0, Oak Seat Back
bibliocraft:seatback5:1, Spruce Seat Back
bibliocraft:seatback5:2, Birch Seat Back
bibliocraft:seatback5:3, Jungle Seat Back
bibliocraft:seatback5:4, Acacia Seat Back
bibliocraft:seatback5:5, Dark Oak Seat Back
bibliocraft:seatback5:6, Framed Seat Back
bibliocraft:StockroomCatalog, Stockroom Catalog
bibliocraft:PlumbLine, Plumb line
bibliocraft:FramingSaw, Framing Saw
bibliocraft:FramingBoard, Framing Board
bibliocraft:FramingSheet, Framing Sheet
bibliocraft:TesterItem, ItemStack Name Tester
bibliocraft:AtlasBook:0, Atlas
bibliocraft:AtlasPlate, Atlas Plate
bibliocraft:DeathCompass, Eternal Compass
bibliocraft:PaintingCanvas, Painting Canvas
bibliocraft:BigBook, Big Writing Book
bibliocraft:RecipeBook, Empty Recipe Book
bibliocraft:SlottedBook, Slotted Book
bibliocraft:HandDrill, Hand Drill
bibliocraft:tapeMeasure, Tape Measure
bibliocraft:tape, Tape Measure Reel
bibliocraft:BiblioChase, Print Press Chase
bibliocraft:PrintPlate, Print Press Plate
bibliocraft:EnchantedPlate, Enchanted Plate
bibliocraft:BiblioRedBook, Redstone: Volume I
bibliocraft:BiblioGlasses:0, Reading Glasses
bibliocraft:BiblioGlasses:1, Tinted Glasses
bibliocraft:BiblioGlasses:2, Monocle
bibliocraft:BiblioDrill, Screw Gun
bibliocraft:BiblioCreativeLock, Lock and Key
bibliocraft:BiblioClipboard, Clipboard
botania:flower:0, Mystical White Flower
botania:flower:1, Mystical Orange Flower
botania:flower:2, Mystical Magenta Flower
botania:flower:3, Mystical Light Blue Flower
botania:flower:4, Mystical Yellow Flower
botania:flower:5, Mystical Lime Flower
botania:flower:6, Mystical Pink Flower
botania:flower:7, Mystical Gray Flower
botania:flower:8, Mystical Light Gray Flower
botania:flower:9, Mystical Cyan Flower
botania:flower:10, Mystical Purple Flower
botania:flower:11, Mystical Blue Flower
botania:flower:12, Mystical Brown Flower
botania:flower:13, Mystical Green Flower
botania:flower:14, Mystical Red Flower
botania:flower:15, Mystical Black Flower
botania:altar:0, Petal Apothecary
botania:altar:1, Forest Petal Apothecary
botania:altar:2, Plains Petal Apothecary
botania:altar:3, Mountain Petal Apothecary
botania:altar:4, Fungal Petal Apothecary
botania:altar:5, Swamp Petal Apothecary
botania:altar:6, Desert Petal Apothecary
botania:altar:7, Taiga Petal Apothecary
botania:altar:8, Mesa Petal Apothecary
botania:livingrock:0, Livingrock
botania:livingrock:1, Livingrock Brick
botania:livingrock:2, Mossy Livingrock Brick
botania:livingrock:3, Cracked Livingrock Brick
botania:livingrock:4, Chiseled Livingrock Brick
botania:livingwood:0, Livingwood
botania:livingwood:1, Livingwood Planks
botania:livingwood:2, Mossy Livingwood Planks
botania:livingwood:3, Framed Livingwood
botania:livingwood:4, Pattern Framed Livingwood
botania:livingwood:5, Glimmering Livingwood
botania:specialFlower:0, Pure Daisy
botania:specialFlower:0, Manastar
botania:specialFlower:0, Endoflame
botania:specialFlower:0, Hydroangeas
botania:specialFlower:0, Thermalily
botania:specialFlower:0, Rosa Arcana
botania:specialFlower:0, Munchdew
botania:specialFlower:0, Entropinnyum
botania:specialFlower:0, Kekimurus
botania:specialFlower:0, Gourmaryllis
botania:specialFlower:0, Narslimmus
botania:specialFlower:0, Spectrolus
botania:specialFlower:0, Rafflowsia
botania:specialFlower:0, Dandelifeon
botania:specialFlower:0, Jaded Amaranthus
botania:specialFlower:0, Bellethorne
botania:specialFlower:0, Bellethorne Petite
botania:specialFlower:0, Dreadthorne
botania:specialFlower:0, Heisei Dream
botania:specialFlower:0, Tigerseye
botania:specialFlower:0, Marimorphosis
botania:specialFlower:0, Marimorphosis Petite
botania:specialFlower:0, Orechid
botania:specialFlower:0, Orechid Ignem
botania:specialFlower:0, Fallen Kanade
botania:specialFlower:0, Exoflame
botania:specialFlower:0, Agricarnation
botania:specialFlower:0, Agricarnation Petite
botania:specialFlower:0, Hopperhock
botania:specialFlower:0, Hopperhock Petite
botania:specialFlower:0, Rannuncarpus
botania:specialFlower:0, Rannuncarpus Petite
botania:specialFlower:0, Tangleberrie
botania:specialFlower:0, Jiyuulia
botania:specialFlower:0, Hyacidus
botania:specialFlower:0, Medumone
botania:specialFlower:0, Pollidisiac
botania:specialFlower:0, Clayconia
botania:specialFlower:0, Clayconia Petite
botania:specialFlower:0, Loonium
botania:specialFlower:0, Daffomill
botania:specialFlower:0, Vinculotus
botania:specialFlower:0, Spectranthemum
botania:specialFlower:0, Bubbell
botania:specialFlower:0, Bubbell Petite
botania:specialFlower:0, Solegnolia
botania:specialFlower:0, Solegnolia Petite
botania:specialFlower:0, Bergamute
botania:spreader:0, Mana Spreader
botania:spreader:1, Pulse Mana Spreader
botania:spreader:2, Elven Mana Spreader
botania:spreader:3, Gaia Mana Spreader
botania:pool:0, Mana Pool
botania:pool:2, Diluted Mana Pool
botania:pool:3, Fabulous Mana Pool
botania:pool:1, The Everlasting Guilty Pool
botania:runeAltar, tile.runeAltar.name
botania:pylon:0, Mana Pylon
botania:pylon:1, Natura Pylon
botania:pylon:2, Gaia Pylon
botania:pistonRelay, tile.pistonRelay.name
botania:distributor, tile.distributor.name
botania:manaVoid, tile.manaVoid.name
botania:manaDetector, tile.manaDetector.name
botania:enchanter, tile.enchanter.name
botania:turntable, tile.turntable.name
botania:tinyPlanetBlock, tile.tinyPlanetBlock.name
botania:alchemyCatalyst, tile.alchemyCatalyst.name
botania:openCrate:0, Open Crate
botania:openCrate:1, Crafty Crate
botania:forestEye, tile.forestEye.name
botania:storage:0, Block of Manasteel
botania:storage:1, Block of Terrasteel
botania:storage:2, Block of Elementium
botania:storage:3, Block of Mana Diamond
botania:storage:4, Block of Dragonstone
botania:forestDrum:0, Drum of the Wild
botania:forestDrum:1, Drum of the Gathering
botania:forestDrum:2, Drum of the Canopy
botania:shinyFlower:0, Glimmering White Flower
botania:shinyFlower:1, Glimmering Orange Flower
botania:shinyFlower:2, Glimmering Magenta Flower
botania:shinyFlower:3, Glimmering Light Blue Flower
botania:shinyFlower:4, Glimmering Yellow Flower
botania:shinyFlower:5, Glimmering Lime Flower
botania:shinyFlower:6, Glimmering Pink Flower
botania:shinyFlower:7, Glimmering Gray Flower
botania:shinyFlower:8, Glimmering Light Gray Flower
botania:shinyFlower:9, Glimmering Cyan Flower
botania:shinyFlower:10, Glimmering Purple Flower
botania:shinyFlower:11, Glimmering Blue Flower
botania:shinyFlower:12, Glimmering Brown Flower
botania:shinyFlower:13, Glimmering Green Flower
botania:shinyFlower:14, Glimmering Red Flower
botania:shinyFlower:15, Glimmering Black Flower
botania:platform:0, Abstruse Platform
botania:platform:1, Spectral Platform
botania:platform:2, Infrangible Platform
botania:alfheimPortal, tile.alfheimPortal.name
botania:dreamwood:0, Dreamwood
botania:dreamwood:1, Dreamwood Planks
botania:dreamwood:2, Mossy Dreamwood Planks
botania:dreamwood:3, Framed Dreamwood
botania:dreamwood:4, Pattern Framed Dreamwood
botania:dreamwood:5, Glimmering Dreamwood
botania:conjurationCatalyst, tile.conjurationCatalyst.name
botania:bifrost, tile.bifrost.name
botania:miniIsland:0, Floating White Flower
botania:miniIsland:1, Floating Orange Flower
botania:miniIsland:2, Floating Magenta Flower
botania:miniIsland:3, Floating Light Blue Flower
botania:miniIsland:4, Floating Yellow Flower
botania:miniIsland:5, Floating Lime Flower
botania:miniIsland:6, Floating Pink Flower
botania:miniIsland:7, Floating Gray Flower
botania:miniIsland:8, Floating Light Gray Flower
botania:miniIsland:9, Floating Cyan Flower
botania:miniIsland:10, Floating Purple Flower
botania:miniIsland:11, Floating Blue Flower
botania:miniIsland:12, Floating Brown Flower
botania:miniIsland:13, Floating Green Flower
botania:miniIsland:14, Floating Red Flower
botania:miniIsland:15, Floating Black Flower
botania:tinyPotato, tile.tinyPotato.name
botania:spawnerClaw, tile.spawnerClaw.name
botania:customBrick:4, Azulejo
botania:customBrick:5, Azulejo
botania:customBrick:6, Azulejo
botania:customBrick:7, Azulejo
botania:customBrick:8, Azulejo
botania:customBrick:9, Azulejo
botania:customBrick:10, Azulejo
botania:customBrick:11, Azulejo
botania:customBrick:12, Azulejo
botania:customBrick:13, Azulejo
botania:customBrick:14, Azulejo
botania:customBrick:15, Azulejo
botania:enderEyeBlock, tile.enderEyeBlock.name
botania:starfield, tile.starfield.name
botania:rfGenerator, tile.rfGenerator.name
botania:elfGlass, tile.elfGlass.name
botania:brewery, tile.brewery.name
botania:manaGlass, tile.manaGlass.name
botania:terraPlate, tile.terraPlate.name
botania:redStringContainer, tile.redStringContainer.name
botania:redStringDispenser, tile.redStringDispenser.name
botania:redStringFertilizer, tile.redStringFertilizer.name
botania:redStringComparator, tile.redStringComparator.name
botania:redStringRelay, tile.redStringRelay.name
botania:floatingSpecialFlower:0, Floating Pure Daisy
botania:floatingSpecialFlower:0, Floating Manastar
botania:floatingSpecialFlower:0, Floating Endoflame
botania:floatingSpecialFlower:0, Floating Hydroangeas
botania:floatingSpecialFlower:0, Floating Thermalily
botania:floatingSpecialFlower:0, Floating Rosa Arcana
botania:floatingSpecialFlower:0, Floating Munchdew
botania:floatingSpecialFlower:0, Floating Entropinnyum
botania:floatingSpecialFlower:0, Floating Kekimurus
botania:floatingSpecialFlower:0, Floating Gourmaryllis
botania:floatingSpecialFlower:0, Floating Narslimmus
botania:floatingSpecialFlower:0, Floating Spectrolus
botania:floatingSpecialFlower:0, Floating Rafflowsia
botania:floatingSpecialFlower:0, Floating Dandelifeon
botania:floatingSpecialFlower:0, Floating Jaded Amaranthus
botania:floatingSpecialFlower:0, Floating Bellethorne
botania:floatingSpecialFlower:0, Floating Bellethorne Petite
botania:floatingSpecialFlower:0, Floating Dreadthorne
botania:floatingSpecialFlower:0, Floating Heisei Dream
botania:floatingSpecialFlower:0, Floating Tigerseye
botania:floatingSpecialFlower:0, Floating Marimorphosis
botania:floatingSpecialFlower:0, Floating Marimorphosis Petite
botania:floatingSpecialFlower:0, Floating Orechid
botania:floatingSpecialFlower:0, Floating Orechid Ignem
botania:floatingSpecialFlower:0, Floating Fallen Kanade
botania:floatingSpecialFlower:0, Floating Exoflame
botania:floatingSpecialFlower:0, Floating Agricarnation
botania:floatingSpecialFlower:0, Floating Agricarnation Petite
botania:floatingSpecialFlower:0, Floating Hopperhock
botania:floatingSpecialFlower:0, Floating Hopperhock Petite
botania:floatingSpecialFlower:0, Floating Rannuncarpus
botania:floatingSpecialFlower:0, Floating Rannuncarpus Petite
botania:floatingSpecialFlower:0, Floating Tangleberrie
botania:floatingSpecialFlower:0, Floating Jiyuulia
botania:floatingSpecialFlower:0, Floating Hyacidus
botania:floatingSpecialFlower:0, Floating Medumone
botania:floatingSpecialFlower:0, Floating Pollidisiac
